variable,label,keying,type,value_labels
participant_id,Participant ID,1,numeric,NA
age,Age,,character,NA
gender,Gender,,character,NA
ethnicity,"In terms of ethnic group, I consider myself to be",,character,NA
transfer,Did you transfer to UMN from another college or university?,,factor,0 No 1 Yes
international,Are you an international student?,,factor,0 No 1 Yes
us_born,Were you born in the U.S.?,,factor,0 No 1 Yes
parent_ed_1,What level of schooling did this parent/guardian complete?,,factor,1 No school 2 Elementary school 3 Middle school/Junior high 4 Some high school 5 High school diploma 6 Associates degree or equivalent (2 year degree) 7 Bachelor's degree (4 year degree) 8 Master's degree 9 Doctorate or professional degree
parent_ed_2,What level of schooling did this parent/guardian complete?,,factor,1 No school 2 Elementary school 3 Middle school/Junior high 4 Some high school 5 High school diploma 6 Associates degree or equivalent (2 year degree) 7 Bachelor's degree (4 year degree) 8 Master's degree 9 Doctorate or professional degree
major_sem_1,Major,1,character,1 Computer Science 2 Mechanical Engineering 3 Biology 4 Biomedical Engineering 5 Chemical Engineering
major_sem_2,Major,1,character,1 Computer Science 2 Mechanical Engineering 3 Biology 4 Biomedical Engineering 5 Chemical Engineering
major_sem_3,Major,1,character,1 Computer Science 2 Mechanical Engineering 3 Biology 4 Biomedical Engineering 5 Chemical Engineering
major_sem_4,Major,1,character,1 Computer Science 2 Mechanical Engineering 3 Biology 4 Biomedical Engineering 5 Chemical Engineering
gpa_sem_1,Term GPA,1,numeric,NA
gpa_sem_2,Term GPA,1,numeric,NA
gpa_sem_3,Term GPA,1,numeric,NA
gpa_sem_4,Term GPA,1,numeric,NA
